State,Specialty,Count,state_total,specialty_total,expected,location_quotient
AK,Internal Medicine,126,3054,128195.0,283.6534220333973,0.4442040540063176
ID,Internal Medicine,328,7492,128195.0,695.8518133183406,0.47136472697520365
SD,Internal Medicine,200,4029,128195.0,374.21075225034633,0.5344581864558514
ND,Internal Medicine,175,3423,128195.0,317.92588854627337,0.5504427487808347
WY,Internal Medicine,115,2187,128195.0,203.12705762509492,0.5661481111603153
IA,Internal Medicine,699,13211,128195.0,1227.0286046113986,0.5696688711029472
MT,Internal Medicine,268,4847,128195.0,450.18603031954046,0.5953094542044642
UT,Internal Medicine,662,11191,128195.0,1039.412392264489,0.6368983138230158
KS,Internal Medicine,713,11495,128195.0,1067.6477034295683,0.6678232882529082
AR,Internal Medicine,744,11827,128195.0,1098.4836353598525,0.6772972997055826
OK,Internal Medicine,899,14030,128195.0,1303.096761993636,0.6898950455717505
NE,Internal Medicine,537,8338,128195.0,774.4277121527396,0.6934152685565158
WI,Internal Medicine,1748,25408,128195.0,2359.8775857971705,0.7407163873754591
NM,Internal Medicine,577,8297,128195.0,770.6196603179756,0.7487480915837476
WA,Internal Medicine,2269,32568,128195.0,3024.8934671852267,0.7501090615635423
KY,Internal Medicine,1340,19073,128195.0,1771.4871376696092,0.7564266042387243
NC,Internal Medicine,3183,44019,128195.0,4088.4544808409023,0.7785337992427225
CO,Internal Medicine,1737,23912,128195.0,2220.9301334848055,0.7821047469307452
WV,Internal Medicine,620,8487,128195.0,788.2667297961502,0.7865357962784185
IN,Internal Medicine,1937,26170,128195.0,2430.651622335955,0.7969056454657473
ME,Internal Medicine,534,7200,128195.0,668.7310539097775,0.7985272956563568
MS,Internal Medicine,795,10666,128195.0,990.650752916901,0.8025027969334085
SC,Internal Medicine,1675,21448,128195.0,1992.0755061467928,0.8408315823529693
TN,Internal Medicine,2339,29129,128195.0,2705.481509630265,0.864541114649736
OR,Internal Medicine,1544,19079,128195.0,1772.0444135478674,0.8713099898600779
LA,Internal Medicine,1673,20543,128195.0,1908.0197278428554,0.8768253155806932
NH,Internal Medicine,583,7126,128195.0,661.8579847445936,0.8808536172982421
AZ,Internal Medicine,2423,29429,128195.0,2733.3453035431726,0.886459532521969
TX,Internal Medicine,7833,92813,128195.0,8620.407681462248,0.9086577212403157
VA,Internal Medicine,2736,32413,128195.0,3010.497173663558,0.9088199862584443
VT,Internal Medicine,244,2878,128195.0,267.30666293782497,0.9128092705147195
OH,Internal Medicine,4566,53444,128195.0,4963.842006271409,0.9198520005735943
AL,Internal Medicine,1601,17811,128195.0,1654.273444609312,0.9677964699349365
MN,Internal Medicine,2311,25375,128195.0,2356.8125684667507,0.9805616411420639
MO,Internal Medicine,2373,25377,128195.0,2356.9983270928365,1.0067890047791848
GA,Internal Medicine,3457,36843,128195.0,3421.952530444157,1.0102419508289595
FL,Internal Medicine,8994,93928,128195.0,8723.968115505219,1.0309528738435954
PA,Internal Medicine,6281,64171,128195.0,5960.158397283935,1.0538310530240729
DE,Internal Medicine,431,4341,128195.0,403.18909791977,1.0689773166579124
NV,Internal Medicine,1054,10293,128195.0,956.0067691518527,1.1025026537574463
MI,Internal Medicine,4778,46434,128195.0,4312.758021839807,1.1078757435043207
PR,Internal Medicine,1174,11379,128195.0,1056.8737031165774,1.1108233619003227
NY,Internal Medicine,10915,104092,128195.0,9667.993453274523,1.1289829738458417
MD,Internal Medicine,2978,26786,128195.0,2487.8652791704585,1.197010153617711
CT,Internal Medicine,2182,19551,128195.0,1815.883449304175,1.2016189700038935
CA,Internal Medicine,15825,139057,128195.0,12915.518633823878,1.2252701922907385
VI,Internal Medicine,22,187,128195.0,17.36843153904561,1.2666659019003679
IL,Internal Medicine,6236,53002,128195.0,4922.789349906393,1.2667614957196123
NJ,Internal Medicine,4368,36308,128195.0,3372.262097966139,1.2952729868281605
HI,Internal Medicine,633,4975,128195.0,462.07458238904763,1.3699087206381766
MA,Internal Medicine,5119,39945,128195.0,3710.0641595036195,1.3797605054584516
DC,Internal Medicine,690,5191,128195.0,482.136514006341,1.4311299392497894
RI,Internal Medicine,910,5750,128195.0,534.0560499973917,1.7039410002085817
GU,Internal Medicine,36,176,128195.0,16.346759095572338,2.2022713976222303
