State,Count,NAME_x,POPESTIMATE2023_x,Count_per_cap,Count_per_100k,NAME_y,POPESTIMATE2023_y,NAME,POPESTIMATE2023
CA,139057,CA,38965193.0,0.0035687491654410645,356.87491654410644,CA,38965193.0,CA,38965193.0
NY,104092,NY,19571216.0,0.005318627110344089,531.8627110344089,NY,19571216.0,NY,19571216.0
FL,93928,FL,22610726.0,0.004154134635040025,415.4134635040025,FL,22610726.0,FL,22610726.0
TX,92813,TX,30503301.0,0.0030427198682529476,304.27198682529473,TX,30503301.0,TX,30503301.0
PA,64171,PA,12961683.0,0.004950823129990141,495.0823129990141,PA,12961683.0,PA,12961683.0
OH,53444,OH,11785935.0,0.004534557504347343,453.4557504347343,OH,11785935.0,OH,11785935.0
IL,53002,IL,12549689.0,0.0042233715911207045,422.3371591120704,IL,12549689.0,IL,12549689.0
MI,46434,MI,10037261.0,0.004626162456072429,462.61624560724283,MI,10037261.0,MI,10037261.0
NC,44019,NC,10835491.0,0.004062483186041131,406.2483186041131,NC,10835491.0,NC,10835491.0
MA,39945,MA,7001399.0,0.005705288328804001,570.5288328804,MA,7001399.0,MA,7001399.0
GA,36843,GA,11029227.0,0.0033404879598543033,334.04879598543033,GA,11029227.0,GA,11029227.0
NJ,36308,NJ,9290841.0,0.0039079347068796035,390.79347068796034,NJ,9290841.0,NJ,9290841.0
WA,32568,WA,7812880.0,0.004168501244099487,416.8501244099487,WA,7812880.0,WA,7812880.0
VA,32413,VA,8715698.0,0.0037189218809554896,371.892188095549,VA,8715698.0,VA,8715698.0
AZ,29429,AZ,7431344.0,0.003960118115915506,396.0118115915506,AZ,7431344.0,AZ,7431344.0
TN,29129,TN,7126489.0,0.004087426501324846,408.7426501324846,TN,7126489.0,TN,7126489.0
MD,26786,MD,6180253.0,0.004334126774421694,433.4126774421694,MD,6180253.0,MD,6180253.0
IN,26170,IN,6862199.0,0.0038136463253251617,381.36463253251617,IN,6862199.0,IN,6862199.0
WI,25408,WI,5910955.0,0.004298459386004461,429.8459386004461,WI,5910955.0,WI,5910955.0
MO,25377,MO,6196156.0,0.004095603790479129,409.56037904791293,MO,6196156.0,MO,6196156.0
MN,25375,MN,5737915.0,0.004422338079250041,442.2338079250041,MN,5737915.0,MN,5737915.0
CO,23912,CO,5877610.0,0.004068320286647124,406.83202866471237,CO,5877610.0,CO,5877610.0
SC,21448,SC,5373555.0,0.003991398617860987,399.1398617860988,SC,5373555.0,SC,5373555.0
LA,20543,LA,4573749.0,0.004491501391965322,449.1501391965322,LA,4573749.0,LA,4573749.0
CT,19551,CT,3617176.0,0.005405045261828565,540.5045261828565,CT,3617176.0,CT,3617176.0
OR,19079,OR,4233358.0,0.004506824133465679,450.6824133465679,OR,4233358.0,OR,4233358.0
KY,19073,KY,4526154.0,0.004213952949899628,421.3952949899628,KY,4526154.0,KY,4526154.0
AL,17811,AL,5108468.0,0.003486563877859272,348.6563877859272,AL,5108468.0,AL,5108468.0
OK,14030,OK,4053824.0,0.0034609297295590535,346.09297295590534,OK,4053824.0,OK,4053824.0
IA,13211,IA,3207004.0,0.004119421117030101,411.94211170301,IA,3207004.0,IA,3207004.0
AR,11827,AR,3067732.0,0.0038552911401647863,385.5291140164786,AR,3067732.0,AR,3067732.0
KS,11495,KS,2940546.0,0.003909137962813709,390.9137962813709,KS,2940546.0,KS,2940546.0
PR,11379,PR,3205691.0,0.0035496247142971673,354.9624714297167,PR,3205691.0,PR,3205691.0
UT,11191,UT,3417734.0,0.003274391746110142,327.4391746110142,UT,3417734.0,UT,3417734.0
MS,10666,MS,2939690.0,0.003628273729542911,362.8273729542911,MS,2939690.0,MS,2939690.0
NV,10293,NV,3194176.0,0.003222427317718247,322.2427317718247,NV,3194176.0,NV,3194176.0
WV,8487,WV,1770071.0,0.0047947229235437445,479.4722923543745,WV,1770071.0,WV,1770071.0
NE,8338,NE,1978379.0,0.0042145615172825834,421.45615172825836,NE,1978379.0,NE,1978379.0
NM,8297,NM,2114371.0,0.003924098467109131,392.4098467109131,NM,2114371.0,NM,2114371.0
ID,7492,ID,1964726.0,0.0038132543672756403,381.32543672756407,ID,1964726.0,ID,1964726.0
ME,7200,ME,1395722.0,0.005158620412947564,515.8620412947564,ME,1395722.0,ME,1395722.0
NH,7126,NH,1402054.0,0.005082543183072835,508.2543183072835,NH,1402054.0,NH,1402054.0
RI,5750,RI,1095962.0,0.005246532270279444,524.6532270279444,RI,1095962.0,RI,1095962.0
DC,5191,DC,678972.0,0.007645381547398126,764.5381547398125,DC,678972.0,DC,678972.0
HI,4975,HI,1435138.0,0.0034665655846336726,346.6565584633673,HI,1435138.0,HI,1435138.0
MT,4847,MT,1132812.0,0.004278732923026945,427.87329230269455,MT,1132812.0,MT,1132812.0
DE,4341,DE,1031890.0,0.0042068437527255816,420.6843752725581,DE,1031890.0,DE,1031890.0
SD,4029,SD,919318.0,0.004382596664048784,438.2596664048784,SD,919318.0,SD,919318.0
ND,3423,ND,783926.0,0.0043664835711534,436.64835711534,ND,783926.0,ND,783926.0
AK,3054,AK,733406.0,0.004164132826838068,416.4132826838068,AK,733406.0,AK,733406.0
VT,2878,VT,647464.0,0.004445034781856597,444.50347818565973,VT,647464.0,VT,647464.0
WY,2187,WY,584057.0,0.003744497540479782,374.4497540479782,WY,584057.0,WY,584057.0
VI,187,,,,,,,,
GU,176,,,,,,,,
ZZ,147,,,,,,,,
AE,120,,,,,,,,
AP,99,,,,,,,,
XX,34,,,,,,,,
AA,32,,,,,,,,
MP,32,,,,,,,,
AS,2,,,,,,,,
FM,1,,,,,,,,
